uai,rentree_scolaire,region_academique,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,ips
0750683K,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,1040,,127.4
0750684L,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,577,,120.2
0750685M,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,632,,116.7
0753268V,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT,PUBLIC,279,,89.3
0753834K,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,441,,143.7
0753902J,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,226,,142.8
0754042L,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYC POLYVAL PRIVE DES METIERS,PRIVE,418,,118.3
0754924V,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT PRIVE,PRIVE,415,,122.5
0750689S,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,477,,118.8
0750690T,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,339,,100.2
0750691U,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LPO LYCEE DES METIERS,PUBLIC,91,,87.5
0750692V,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,425,,90.4
0754045P,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT PRIVE,PRIVE,207,,118.1
0754476H,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LPO LYCEE DES METIERS,PUBLIC,69,,104.2
0750693W,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,977,,129.8
0750694X,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,501,,130.9
0750695Y,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LPO LYCEE DES METIERS,PUBLIC,80,,93.6
0750696Z,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LGT LYCEE DES METIERS,PUBLIC,206,,95.5
0751708Z,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT,PUBLIC,390,,93.6
0753874D,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,539,,155.9
