uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,ips_voie_gt,ips_voie_pro,ips_ensemble_gt_pro,taux_de_reussite,va_taux_de_reussite,taux_de_mentions,va_du_taux_de_mentions,effectif_de_2de,effectif_de_1re,effectif_de_ter,taux_dacces_2nde_bac,va_taux_dacces_2nde_bac,taux_dacces_1re_bac,va_du_taux_dacces_1re_bac,taux_dacces_term_bac,va_du_taux_dacces_term_bac,part_mention_ab,part_mention_b,part_mention_tb_sf,part_mention_tb_af
0540058V,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,PONT-A-MOUSSON,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,946,115.7,,115.7,98.0,2.0,66.0,4.0,310.0,318.0,289.0,87.0,-2.0,95.0,0.0,99.0,2.0,38.75,20.07,,
0540076P,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,JARNY,LYCEE POLYVALENT,PUBLIC,595,106.9,89.2,98.8,97.0,1.0,69.0,10.0,201.0,194.0,201.0,93.0,5.0,97.0,3.0,99.0,2.0,39.80,16.92,5.97,5.97
0541318P,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL PRIVE,PRIVE,501,134.3,,134.3,99.0,1.0,77.0,-2.0,181.0,170.0,141.0,82.0,-8.0,89.0,-7.0,99.0,0.0,,,,
0570087K,2021-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,LPO LYCEE DES METIERS,PUBLIC,847,108.6,76.1,98.9,93.0,-2.0,55.0,-3.0,266.0,276.0,266.0,88.0,0.0,95.0,1.0,97.0,0.0,27.07,19.55,6.77,6.77
0570099Y,2021-01-01,NANCY-METZ,MOSELLE,SARREGUEMINES,LPO LYCEE DES METIERS,PUBLIC,506,102.2,80.8,94.9,92.0,-1.0,51.0,1.0,109.0,155.0,172.0,89.0,5.0,92.0,0.0,93.0,-2.0,29.07,16.28,3.49,3.49
0570106F,2021-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LYCEE GENERAL,PUBLIC,855,115.6,,115.6,95.0,-2.0,64.0,-4.0,322.0,248.0,241.0,89.0,0.0,97.0,1.0,99.0,1.0,,,,
0570214Y,2021-01-01,NANCY-METZ,MOSELLE,SARREGUEMINES,LYCEE GENERAL PRIVE,PRIVE,175,117.8,,117.8,98.0,2.0,89.0,24.0,48.0,54.0,58.0,88.0,-1.0,95.0,-1.0,98.0,0.0,,,,
0572022N,2021-01-01,NANCY-METZ,MOSELLE,CREUTZWALD,LYCEE POLYVALENT,PUBLIC,630,98.7,73.6,93.1,95.0,2.0,58.0,6.0,197.0,180.0,216.0,87.0,0.0,96.0,3.0,97.0,1.0,30.56,17.13,,
0670007U,2021-01-01,STRASBOURG,BAS-RHIN,BOUXWILLER,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,473,117.3,,117.3,97.0,0.0,66.0,-3.0,140.0,171.0,142.0,91.0,2.0,97.0,2.0,99.0,1.0,33.80,22.54,,
0670020H,2021-01-01,STRASBOURG,BAS-RHIN,HAGUENAU,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1275,115.2,,115.2,97.0,0.0,75.0,6.0,400.0,429.0,415.0,86.0,-3.0,94.0,-1.0,97.0,-1.0,33.49,29.16,14.70,14.70
